10,22,34
1,2688,83
2,5723,181
3,3985,116
4,564,29
5,1606,64
6,4067,142
7,378,33
8,80,28
9,43,30
10,30,34
1,4213,127
2,21338,622
3,1508,53
4,414,24
5,811,38
6,558,35
7,296,31
8,225,32
9,38,30
10,25,34
1,730,27
2,4246,134
3,708,33
4,228,20
5,199,24
6,95,22
7,54,23
8,78,27
9,32,28
10,28,33
1,14682,418
2,25385,700
3,4591,138
4,145,17
5,1687,64
6,578,38
7,202,30
8,135,41
9,41,30
10,25,31
1,859,31
2,6142,190
3,4267,127
4,1556,57
5,1031,48
6,444,33
7,121,27
8,96,29
9,33,30
10,32,30
1,5021,157
2,8669,251
3,4874,148
4,404,32
5,546,35
6,221,31
7,50,26
8,154,31
9,33,29
10,32,32
1,16542,476
2,4719,149
3,768,31
4,1254,49
5,2166,79
6,1221,54
7,209,30
8,229,35
9,23,33
10,29,38
1,11773,363
2,7532,227
3,3695,118
4,939,37
5,676,35
6,1542,68
7,78,26
8,123,30
9,25,28
10,31,31
1,18334,532
2,12543,348
3,6727,201
4,2314,79
5,1091,47
6,354,29
7,258,29
8,32,27
9,24,30
10,21,34
1,1658,54
2,6654,205
3,3819,128
4,329,26
5,947,46
6,363,32
7,153,29
8,34,28
9,32,38
10,25,34
1,800,27
2,2748,91
3,3683,112
4,371,24
5,1487,67
6,510,37
7,86,31
8,144,35
9,25,33
10,24,34
1,7552,236
2,1937,67
3,1646,59
4,3078,102
5,2444,94
6,7095,233
7,137,28
8,55,26
9,45,29
10,33,32
1,28573,809
2,4625,150
3,1074,42
4,693,33
5,3202,111
6,168,24
7,194,26
8,196,32
9,45,32
10,27,35
1,10078,308
2,8085,228
3,4100,127
4,214,20
5,1321,53
6,193,26
7,61,25
8,30,27
9,32,31
10,36,33
1,9273,276
2,332,19
3,456,23
4,267,21
5,629,33
6,1891,74
7,26,22
8,48,27
9,33,31
10,31,35
1,532,23
2,12402,364
3,2610,84
4,358,26
5,1476,58
6,165,24
7,56,26
8,96,32
9,57,35
10,29,34
1,1928,59
2,12733,376
3,2832,86
4,2063,70
5,1125,46
6,2613,97
7,77,25
8,97,29
9,41,29
10,30,32
1,284,13
2,1585,54
3,2576,88
4,2912,101
5,325,29
6,2253,87
7,68,23
8,52,27
9,36,31
10,25,34
1,3186,101
2,19813,557
3,276,18
4,1822,64
5,1707,64
6,2452,88
7,158,35
8,119,32
9,26,30
10,29,32
1,1352,44
2,10638,300
3,164,15
4,862,35
5,1710,68
6,1132,52
7,63,23
8,72,29
9,36,33
10,21,34
1,6844,206
2,17335,499
3,5235,156
4,2610,86
5,1073,48
6,1207,53
7,54,23
8,110,27
9,26,28
10,35,33
1,4571,150
2,6397,196
3,17834,510
4,1069,41
5,2340,80
6,1612,65
7,228,31
8,138,32
9,29,37
10,23,34
1,4947,148
2,29275,798
3,415,29
4,649,30
5,530,31
6,1393,57
7,151,25
8,62,25
9,34,31
10,25,34
1,7564,220
2,3790,124
3,15219,442
4,1605,57
5,2455,83
6,1308,56
7,140,28
8,60,28
9,34,31
10,29,33
1,6220,192
2,950,37
3,7163,210
4,3574,115
5,5468,177
6,636,41
7,334,32
8,104,27
9,27,29
10,32,32
1,12774,377
2,648,26
3,1369,56
4,3284,105
5,775,41
6,844,48
7,494,39
8,68,28
9,39,29
10,27,34
1,3922,124
2,622,25
3,10716,311
4,2587,88
5,6663,216
6,313,37
7,292,32
8,27,27
9,39,30
10,25,33
1,23655,682
2,2870,97
3,7246,225
4,2788,99
5,1597,64
6,469,35
7,249,33
8,77,31
9,33,32
10,34,35
1,24098,744
2,3168,102
3,5645,185
4,1627,66
5,1555,66
6,149,26
7,298,31
8,33,29
9,24,30
10,23,34
1,5693,175
2,14718,439
3,10562,329
4,338,22
5,934,43
6,2425,91
7,120,27
8,66,28
9,33,31
10,28,34
1,4201,128
2,1226,45
3,3199,104
4,493,26
5,1630,63
6,1477,64
7,140,27
8,153,31
9,25,33
10,27,33
1,6932,209
2,3885,112
3,1882,64
4,987,43
5,1560,67
6,1600,72
7,141,26
8,62,27
9,51,30
10,25,36
1,1595,55
2,1469,48
3,11742,357
4,2824,102
5,786,42
6,854,46
7,111,26
8,67,29
9,35,32
